Time to Maturity (Years),Zero Rate,Discount Factor
0.030116358658453114,0.03736176187688149,0.9988754325796079
0.07118412046543464,0.03757407641805899,0.9973288961810322
0.11225188227241616,0.03778106431729298,0.9957679847382457
0.15605749486652978,0.037996112662960095,0.9940879670959328
0.1971252566735113,0.0381924621598392,0.9924995707582737
0.23819301848049282,0.03838383851671524,0.9908989056111265
0.2792607802874743,0.038570352615733924,0.9892866147483044
0.32306639288158795,0.0387640642310665,0.987554724621061
0.36413415468856947,0.038940872072700514,0.9859203569413637
0.4079397672826831,0.03912447089825647,0.9841662651517823
0.4490075290896646,0.03929201913957012,0.9825123037397485
0.48459958932238195,0.039433725371229536,0.9810718631348302
0.5256673511293635,0.03959327954218872,0.9794021990830324
0.5694729637234771,0.039758906710129355,0.9776127754836327
0.6105407255304586,0.03991000385772837,0.9759277882927461
0.6516084873374401,0.04005715271461489,0.9742361210073086
0.6926762491444216,0.04020044463739098,0.9725382300027663
0.7364818617385352,0.04034913907561601,0.9707207821309619
0.7775496235455168,0.040484741981424634,0.9690114063641743
0.8186173853524983,0.04061675727905283,0.9672971079208325
0.8596851471594799,0.04074526936251013,0.9655782803380384
0.9034907597535934,0.04087858081080993,0.963740299008971
0.944558521560575,0.04100011335352841,0.9620132967244889
0.9883641341546886,0.041126162808978316,0.9601674100107127
1.0294318959616702,0.04124105523977248,0.9584337304599085
1.0704996577686516,0.04135285251785478,0.9566973229944052
1.111567419575633,0.041461629435625015,0.9549584985674168
1.1553730321697468,0.04157441162694518,0.9531014249012532
1.1964407939767283,0.0416771771941939,0.9513585389019336
1.2375085557837098,0.041777142713854395,0.9496141150942299
1.2785763175906912,0.041874377162828824,0.9478684170374148
1.322381930184805,0.0419751598136182,0.946005219168398
1.3634496919917864,0.04206696278607676,0.9442576767231456
1.4072553045859,0.04216210114555702,0.9423930503865812
1.4483230663928817,0.04224874969761542,0.9406446520546811
1.486652977412731,0.04232745693010968,0.9390127328346978
1.5277207392197125,0.042409524394779054,0.9372643526013233
1.571526351813826,0.04249455004139628,0.9353997460312882
1.6125941136208077,0.042571967537271216,0.9336521838670326
1.6536618754277892,0.04264722363500793,0.9319052916903304
1.6947296372347707,0.04272037452709933,0.9301592370802343
1.7385352498288844,0.04279614374787133,0.928297881727487
1.7796030116358659,0.042865117074016454,0.9265540552709056
1.8206707734428473,0.042932150494132806,0.9248115317899471
1.8617385352498288,0.042997295688428444,0.9230704480647326
1.9055441478439425,0.04306475966640559,0.9212150251478451
1.946611909650924,0.043126161765328075,0.9194773206538962
1.9904175222450375,0.04318974475394545,0.9176257743029901
2.0314852840520192,0.043247610884429244,0.9158919451446896
2.0725530458590007,0.04330383780310383,0.9141601528543952
2.113620807665982,0.04335847098186847,0.912430494848278
2.1574264202600957,0.043415039864886554,0.9105879820172073
2.198494182067077,0.04346651935586583,0.9088630193735475
2.239561943874059,0.043516538713916295,0.9071404551387072
2.2806297056810405,0.043565139659851135,0.9054203647935516
2.324435318275154,0.043615463262601316,0.9035884079325138
2.3655030800821355,0.04366126126797155,0.9018736484911306
2.409308692676249,0.04370868505553735,0.900047521981853
2.4503764544832305,0.04375184701396781,0.8983383537226948
2.485968514715948,0.04378826768526503,0.896859327474682
2.5270362765229293,0.043829186088119296,0.8951554011452446
2.5708418891170433,0.043871565532288936,0.8933410479554986
2.6119096509240247,0.0439101456455817,0.8916431048066551
2.652977412731006,0.043947647333405185,0.8899481149910548
2.6940451745379876,0.04398410414891995,0.8882561116626585
2.737850787132101,0.0440218767043699,0.8864546333547595
2.7789185489390826,0.044056277316081256,0.8847688927335773
2.8199863107460645,0.04408973144739709,0.8830862196687009
2.861054072553046,0.04412226975915938,0.881406634313534
2.9048596851471595,0.04415600162426728,0.8796184993487978
2.945927446954141,0.04418674150358606,0.8779453468684772
2.9897330595482545,0.04421862099558424,0.8761641033156959
3.0718685831622174,0.04427597955945063,0.8728339123129367
3.156741957563313,0.04433213322083984,0.8694059601233894
3.1978097193702943,0.04435823417834953,0.8677521102409341
3.238877481177276,0.044383671128325704,0.8661014123466331
3.323750855578371,0.04443424041592986,0.8626999381445692
3.4086242299794662,0.044482283827103564,0.8593118448490531
3.4496919917864477,0.04450468282772331,0.8576772223961188
3.485284052019165,0.044523671050686574,0.8562630568463585
3.57015742642026,0.04456744409053786,0.8529001536590491
3.652292950034223,0.0446079189016862,0.8496581492715737
3.693360711841205,0.044627509946654445,0.848041681314829
3.7371663244353184,0.04464796015104658,0.8463207508320758
3.8193018480492813,0.04468513603731819,0.8431031037989805
3.9041752224503763,0.04472207546989737,0.8397905034155063
3.9452429842573578,0.04473945433475465,0.8381920582246172
3.9890485968514717,0.04475766040385838,0.8364901930342875
4.071184120465435,0.044790939222580206,0.8333078306321187
4.15605749486653,0.0448242594007986,0.8300310251141189
4.1971252566735116,0.044840029486959435,0.8284496468294612
4.238193018480493,0.044855588289086534,0.8268709507916907
4.323066392881588,0.044887130393594564,0.8236166854411076
4.407939767282683,0.04491793935197699,0.8203734864540504
4.4490075290896645,0.044932615655640794,0.8188080896540715
4.484599589322382,0.04494522551541259,0.8174534335197979
4.569472963723477,0.044974929025736785,0.8142305499146647
4.65160848733744,0.04500325505103797,0.8111214171776051
4.692676249144422,0.045017289536524493,0.8095703813582098
4.736481861738535,0.04503217996249155,0.8079184905458505
4.818617385352498,0.04505991706721148,0.8048281522950187
4.903490759753593,0.045088393699136704,0.8016441106770144
4.944558521560575,0.04510212754576931,0.8001067608968583
4.988364134154689,0.045116757025841045,0.7984692573277191
5.070499657768652,0.04514416445695079,0.7954053099326
5.155373032169747,0.04517250806292007,0.7922477425249155
5.196440793976728,0.04518624944659555,0.790722914781786
5.23750855578371,0.045200017483992896,0.7892000209451242
5.322381930184805,0.04522858366928427,0.7860587086139417
5.4072553045859,0.04525734604679588,0.7829252728781031
5.448323066392882,0.04527134906347746,0.781411846904503
5.486652977412731,0.04528447565052054,0.7800009017897188
5.5715263518138265,0.04531375955030806,0.776882000671918
5.653661875427789,0.045342418306998256,0.7738705234716925
5.69472963723477,0.045356877438973334,0.7723672310254622
5.738535249828884,0.04537240248261948,0.7707654777402605
5.820670773442847,0.04540181302166517,0.7677669778616493
5.905544147843942,0.04543264475847225,0.7646749102662168
5.946611909650924,0.04544773376216775,0.7631810148663053
5.990417522245037,0.04546395646010011,0.7615891199330866
6.072553045859,0.04549474293503846,0.7586086556348697
6.157426420260096,0.045527082865433215,0.7555346286800314
6.198494182067077,0.045542930881305316,0.75404925203811
6.239561943874059,0.045558912651118506,0.7525651879680267
6.324435318275154,0.04559237587127404,0.7495021954649403
6.409308692676249,0.045626440640629984,0.746444551583304
6.450376454483231,0.04564314491945942,0.7449669177471624
6.485968514715948,0.04565774070637666,0.7436872698972785
6.570841889117043,0.045692997803528514,0.7406393613407882
6.652977412731006,0.04572773404612693,0.737694437281718
6.694045174537988,0.045745333096905774,0.736223655783411
6.737850787132102,0.045764276969605736,0.7346560344824877
6.8199863107460645,0.04580027860860999,0.7317200576009741
6.9048596851471595,0.045838147516301816,0.7286906562886774
6.945927446954141,0.0458567167718945,0.7272264039956448
6.9897330595482545,0.045876701569948095,0.7256656571120678
7.197809719370294,0.04597415153904891,0.7182675156988062
7.238877481177276,0.045993879996505165,0.7168102898401756
7.449691991786447,0.04609772881741775,0.7093445664093743
7.693360711841205,0.04622311452948788,0.7007450917099163
7.737166324435318,0.04624625924293948,0.699202415736841
7.945242984257358,0.04635867223744493,0.6918881873774673
8.19712525667351,0.04650011279430702,0.683063638338856
8.238193018480493,0.04652371708173601,0.6816279067819636
8.449007529089664,0.0466472137684487,0.6742713448149776
8.692676249144421,0.04679464881923197,0.6657968184578139
8.736481861738536,0.04682166751705828,0.6642766006517549
8.944558521560575,0.04695205398730506,0.6570695575785204
